"Text Editing","Move Lines Up","Alt+Up","Editing Text","org.eclipse.ui.edit.text.moveLineUp"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View","org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected","org.eclipse.tm.terminal.command1"
"C/C++ Source","Copy Qualified Name","Ctrl+Alt+Shift+C","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.copy.qualified.name"
"Run/Debug","Run to Line","Ctrl+R","Debugging","org.eclipse.debug.ui.commands.RunToLine"
"Text Editing","Toggle Overwrite","Insert","Editing Text","org.eclipse.ui.edit.text.toggleOverwrite"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text","org.eclipse.ui.edit.text.scroll.lineDown"
"Source","Apply Checkstyle fixes","Ctrl+Alt+C","Editing Java Source","CheckstylePlugin.ApplyCheckstyleFixes"
"File","Close All","Ctrl+Shift+F4","In Windows","org.eclipse.ui.file.closeAll"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View","org.eclipse.buildship.ui.commands.refreshtaskview"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor","org.eclipse.cdt.ui.edit.open.quick.type.hierarchy"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Run/Debug","Coverage SWTBot Test","Alt+Shift+E, S","In Windows","org.eclipse.eclemma.ui.swtBotJunitShortcut.coverage"
"Refactor - C++","Rename - Refactoring ","Alt+Shift+R","C/C++ Editor","org.eclipse.cdt.ui.edit.text.rename.element"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Navigate","Show In...","Alt+Shift+W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"C/C++ Source","Remove Block Comment","Ctrl+Shift+\","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.remove.block.comment"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text","org.eclipse.ui.edit.text.deletePreviousWord"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text","org.eclipse.ui.edit.text.copyLineUp"
"Navigate","Show In (Package Explorer)","Ctrl+Shift+E","Editing Text","org.eclipse.ui.navigate.showIn"
"Edit","Shift Left","Shift+Tab","C/C++ Editor","org.eclipse.ui.edit.text.shiftLeft"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows","org.eclipse.jdt.ui.edit.text.java.modify.method.parameters"
"Edit","Select All","Ctrl+A","In Dialogs and Windows","org.eclipse.ui.edit.selectAll"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows","org.eclipse.jdt.debug.ui.commands.Inspect"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.goto.previous.member"
"Language Servers","Format","Ctrl+Shift+F","Editing Text","org.eclipse.lsp4e.format"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text","org.eclipse.ui.edit.text.toggleInsertMode"
"Window","Show System Menu","Alt+-","In Windows","org.eclipse.ui.window.showSystemMenu"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows","org.eclipse.jdt.ui.edit.text.java.search.occurrences.in.file.quickMenu"
"Run/Debug","Coverage","Ctrl+Shift+F11","In Windows","org.eclipse.eclemma.ui.commands.CoverageLast"
"Source","Remove Block Comment","Ctrl+Shift+.","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.remove.block.comment"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows","org.eclipse.mylyn.context.ui.commands.interest.increment"
